Distance From Airport,Aeroporto1,Distance To Airport,Aeroporto2,Distance (km), Flght Time (Hr), Flight Time (Minutes)
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Eduardo Gomes International Airport, Manaus MAO",MAO,"2847,43","  4,12 ",  247 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Eduardo Gomes International Airport, Manaus MAO",MAO,"2697,33","  3,96 ",  238 
"Viracopos International Airport, Campinas VCP",VCP,"Eduardo Gomes International Airport, Manaus MAO",MAO,"2619,88","  3,87 ",  232 
"Tancredo Neves International Airport, Belo Horizonte CNF",CNF,"Eduardo Gomes International Airport, Manaus MAO",MAO,"2539,39","  3,78 ",  227 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Val de Cans/Júlio Cezar Ribeiro International Airport, Belém BEL",BEL,"2461,92","  3,70 ",  222 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Val de Cans/Júlio Cezar Ribeiro International Airport, Belém BEL",BEL,"2448,79","  3,68 ",  221 
"Pinto Martins International Airport, Fortaleza FOR",FOR,"Eduardo Gomes International Airport, Manaus MAO",MAO,"2389,59","  3,62 ",  217 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Pinto Martins International Airport, Fortaleza FOR",FOR,"2346,48","  3,57 ",  214 
"Viracopos International Airport, Campinas VCP",VCP,"Pinto Martins International Airport, Fortaleza FOR",FOR,"2329,89","  3,55 ",  213 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Marechal Cunha Machado International Airport, São Luís SLZ",SLZ,"2330,82","  3,55 ",  213 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Governador Aluízio Alves International Airport, Natal NAT",NAT,"2295,82","  3,52 ",  211 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Marechal Cunha Machado International Airport, São Luís SLZ",SLZ,"2251,27","  3,47 ",  208 
"Guarulhos - Governador André Franco Montoro International Airport, São Paulo GRU",GRU,"Presidente Castro Pinto International Airport, João Pessoa JPA",JPA,"2189,84","  3,40 ",  204 
"Rio Galeão – Tom Jobim International Airport, Rio De Janeiro GIG",GIG,"Pinto Martins International Airport, Fortaleza FOR",FOR,"2176,41","  3,39 ",  203 
"Viracopos International Airport, Campinas VCP",VCP,"Guararapes - Gilberto Freyre International Airport, Recife REC",REC,"2106,18","  3,31 ",  199 
