From;To;Flight Time (Minutes)
GIG;MAO;247
GRU;MAO;238
VCP;MAO;232
CNF;MAO;227
GRU;BEL;222
GIG;BEL;221
FOR;MAO;217
GRU;FOR;214
VCP;FOR;213
GRU;SLZ;213
GRU;NAT;211
GIG;SLZ;208
GRU;JPA;204
GIG;FOR;203
VCP;REC;199
GRU;REC;198
CNF;BEL;197
GRU;THE;197
GIG;NAT;196
BSB;MAO;188
GRU;MCZ;186
GIG;REC;182
CNF;FOR;182
SSA;CWB;179
BSB;NAT;176
GRU;AJU;172
BSB;FOR;171
BSB;REC;169
BSB;BEL;166
BSB;POA;166
CNF;REC;166
GIG;CGB;163
BSB;SLZ;161
SSA;CGH;157
SSA;VCP;156
GRU;SSA;155
CNF;POA;149
CNF;CGB;149
GRU;CGB;148
CGH;CGB;148
BSB;FLN;146
BEL;MAO;145
VCP;CGB;142
GRU;IOS;141
SSA;SDU;140
GIG;SSA;140
GIG;CGR;139
GIG;POA;134
POA;SDU;134
GRU;BPS;132
BSB;SSA;131
BSB;CWB;131
SSA;FOR;127
SSA;CNF;123
BSB;VIX;122
BSB;SDU;121
GIG;GYN;121
GRU;CGR;119
BSB;CGH;118
BSB;CGB;118
VCP;POA;118
BSB;CGR;118
GRU;POA;117
GRU;BSB;116
CNF;CWB;116
GRU;IGU;116
CGH;POA;115
GRU;GYN;113
BSB;VCP;112
GIG;FLN;110
GRU;VIX;108
GIG;CWB;104
CWB;SDU;104
SSA;REC;103
BSB;CNF;99
BSB;RAO;98
GRU;MGF;97
CWB;POA;95
GRU;UDI;95
CNF;CGH;94
GRU;FLN;94
VCP;CNF;93
GIG;RAO;93
GRU;CNF;92
GRU;PLU;91
GRU;LDB;91
GIG;VIX;88
VCP;SDU;87
GIG;VCP;86
CNF;SDU;85
GIG;CNF;84
CGH;SDU;84
GRU;CWB;83
GIG;CGH;83
GRU;SDU;83
VCP;CWB;83
GRU;GIG;82
CGH;CWB;82
GRU;RAO;79
BSB;GYN;71
